DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             0.651               1.001            -0.350         4.272
RESSURF            0.655               0.999            -0.344         3.355
SOLIN            340.267             340.267             0.000         0.000
AAM            1.412e+26           1.428e+26        -1.616e+24      -999.000
CHI_200            0.004               0.006            -0.003         0.394
CLDHGH            29.066              28.915             0.151         1.241
CLDLOW            33.018              33.126            -0.108         1.225
CLDMED            16.004              15.867             0.136         1.074
CLDTOT            51.103              51.078             0.025         1.221
EKE_850           30.619              30.372             0.247         1.194
EP             9.765e-05           2.109e-05         7.655e-05         0.302
FLNS              59.237              58.583             0.655         1.431
FLNSC             82.051              81.141             0.909         1.575
FLNT             233.328             234.463            -1.135         2.010
FLNTC            262.464             263.525            -1.061         1.334
FSDS             183.686             182.941             0.745         2.917
FSDSC            246.499             245.751             0.748         1.098
FSNS             158.940             160.038            -1.098         4.753
FSNSC            215.109             216.679            -1.569         6.608
FSNSC_ICE         54.693              54.179             0.514         3.378
FSNSC_LAND       179.600             179.168             0.432         1.010
FSNT             233.980             235.464            -1.485         4.613
FSNTC            286.310             288.307            -1.997         6.438
ICEAREA           23.899              22.428             1.471         0.048
LHFLX             81.935              83.364            -1.429         4.560
LWCF              29.136              29.062             0.074         1.322
PRECT              2.808               2.858            -0.050         0.298
PRECT_LAND         2.370               2.369             0.001         0.185
PRECT_OCEAN        3.110               3.180            -0.069         0.347
PREH2O            26.147              27.162            -1.015         1.452
PREH2O_OCEAN      30.389              31.575            -1.186         1.703
PSI_200           -0.035              -0.035            -0.000         0.145
PS               985.450             985.549            -0.100         0.492
PSL             1011.148            1011.229            -0.081         0.504
QFLX               2.808               2.858            -0.050         0.142
SHFLX             17.113              17.092             0.021         1.367
SNOWHLND          11.278              11.240             0.038         1.506
SST               20.615              21.174            -0.559         0.695
STRESS_MAG         0.068               0.067             0.001         0.006
SWCF             -52.331             -52.843             0.512         3.018
T_850            281.976             282.516            -0.540         0.637
TGCLDLWP         135.019             136.173            -1.154         7.629
TGCLDIWP          17.238              17.034             0.204         0.909
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.884             288.397            -0.513         0.646
TS               288.565             289.088            -0.522         0.676
TS_LAND          282.888             283.270            -0.382         0.538
U_200             15.491              15.654            -0.162         0.925
VT_850             0.174               0.115             0.058         0.462
Z3_500            56.775              56.901            -0.126         0.138
