DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             7.692               8.583            -0.892         6.590
RESSURF            6.883               7.717            -0.834         6.591
SOLIN            350.496             350.496             0.000         0.000
AAM            1.484e+26           1.501e+26        -1.706e+24      -999.000
CHI_200           -0.038              -0.036            -0.003         0.316
CLDHGH            28.465              28.275             0.190         2.023
CLDLOW            32.440              32.528            -0.088         1.646
CLDMED            16.201              16.129             0.072         1.718
CLDTOT            50.339              50.270             0.068         1.915
EKE_850           27.864              27.688             0.176         1.922
EP             6.769e-03           6.219e-03         5.502e-04         0.506
FLNS              58.815              58.041             0.774         1.853
FLNSC             81.672              80.573             1.099         1.883
FLNT             230.328             231.496            -1.167         2.765
FLNTC            259.053             260.149            -1.095         1.474
FSDS             191.144             190.072             1.072         4.964
FSDSC            256.841             255.945             0.897         1.545
FSNS             163.045             164.711            -1.666         7.405
FSNSC            221.751             224.261            -2.510         9.768
FSNSC_ICE         30.091              28.211             1.879         4.785
FSNSC_LAND       145.242             144.948             0.294         1.554
FSNT             238.020             240.079            -2.059         7.157
FSNTC            292.523             295.472            -2.949         9.515
ICEAREA           22.171              20.917             1.254         0.048
LHFLX             82.492              84.082            -1.590         5.942
LWCF              28.725              28.653             0.072         2.053
PRECT              2.817               2.874            -0.056         0.495
PRECT_LAND         2.306               2.314            -0.008         0.308
PRECT_OCEAN        3.162               3.233            -0.071         0.576
PREH2O            24.665              25.821            -1.156         1.737
PREH2O_OCEAN      29.782              31.148            -1.367         2.039
PSI_200           -0.002              -0.003             0.001         0.137
PS               985.304             985.418            -0.114         0.663
PSL             1011.319            1011.413            -0.093         0.681
QFLX               2.824               2.880            -0.056         0.178
SHFLX             14.855              14.871            -0.015         1.980
SNOWHLND          12.044              12.007             0.037         1.556
SST               20.588              21.192            -0.604         0.760
STRESS_MAG         0.073               0.070             0.002         0.008
SWCF             -54.504             -55.393             0.890         4.947
T_850            280.304             280.878            -0.574         0.691
TGCLDLWP         135.370             136.712            -1.342        12.440
TGCLDIWP          17.651              17.441             0.209         1.450
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.946             286.470            -0.525         0.693
TS               286.580             287.115            -0.535         0.731
TS_LAND          276.141             276.517            -0.376         0.641
U_200             16.351              16.453            -0.102         1.145
VT_850            -0.652              -0.690             0.038         0.734
Z3_500            56.514              56.651            -0.137         0.151
