DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            -9.220              -9.476             0.256         3.252
RESSURF          -10.147             -10.454             0.307         5.605
SOLIN            330.385             330.385             0.000         0.000
AAM            1.187e+26           1.214e+26        -2.627e+24      -999.000
CHI_200            0.034               0.039            -0.005         0.499
CLDHGH            30.456              30.326             0.130         1.989
CLDLOW            35.674              35.698            -0.023         1.622
CLDMED            16.003              15.834             0.169         1.598
CLDTOT            54.168              54.065             0.103         1.816
EKE_850           28.276              27.806             0.471         1.858
EP             1.300e-02           1.153e-02         1.471e-03         0.454
FLNS              57.794              57.333             0.461         1.894
FLNSC             81.221              80.484             0.737         1.842
FLNT             236.604             237.716            -1.112         2.960
FLNTC            266.556             267.637            -1.082         1.572
FSDS             171.249             170.895             0.354         3.863
FSDSC            235.364             234.810             0.554         1.077
FSNS             151.124             151.646            -0.521         4.031
FSNSC            208.597             209.222            -0.624         3.745
FSNSC_ICE         43.615              45.877            -2.261         3.057
FSNSC_LAND       215.103             214.662             0.441         1.587
FSNT             227.384             228.240            -0.856         3.827
FSNTC            281.163             282.179            -1.016         3.623
ICEAREA           24.823              23.259             1.564         0.069
LHFLX             84.004              85.330            -1.326         5.717
LWCF              29.952              29.921             0.031         2.125
PRECT              2.870               2.917            -0.048         0.442
PRECT_LAND         2.438               2.402             0.036         0.301
PRECT_OCEAN        3.158               3.239            -0.081         0.507
PREH2O            28.260              29.189            -0.929         1.436
PREH2O_OCEAN      31.100              32.175            -1.075         1.657
PSI_200           -0.074              -0.074            -0.001         0.233
PS               985.657             985.748            -0.091         0.617
PSL             1011.030            1011.100            -0.069         0.638
QFLX               2.883               2.929            -0.046         0.173
SHFLX             19.474              19.437             0.036         2.331
SNOWHLND          10.272              10.228             0.044         1.492
SST               20.326              20.847            -0.521         0.649
STRESS_MAG         0.078               0.077             0.000         0.008
SWCF             -53.779             -53.939             0.160         3.434
T_850            283.919             284.459            -0.540         0.659
TGCLDLWP         141.191             142.301            -1.111        11.559
TGCLDIWP          16.306              16.187             0.119         1.386
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.873             290.399            -0.526         0.691
TS               290.559             291.089            -0.530         0.721
TS_LAND          289.591             290.047            -0.456         0.640
U_200             13.182              13.559            -0.377         1.218
VT_850             0.999               0.929             0.070         0.741
Z3_500            57.132              57.252            -0.120         0.142
