DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             2.174               2.078             0.096         3.884
RESSURF           -0.489              -0.469            -0.019         5.051
SOLIN            338.254             338.254             0.000         0.000
AAM            1.577e+26           1.565e+26         1.297e+24      -999.000
CHI_200            0.009               0.005             0.004         0.681
CLDHGH            28.975              28.659             0.317         2.124
CLDLOW            31.279              31.440            -0.162         1.626
CLDMED            15.974              15.764             0.210         1.607
CLDTOT            49.625              49.555             0.070         1.879
EKE_850           28.463              28.250             0.213         1.910
EP             1.943e-02           1.912e-02         3.092e-04         0.477
FLNS              60.731              60.058             0.673         1.919
FLNSC             82.898              81.975             0.923         1.882
FLNT             232.622             233.997            -1.375         3.068
FLNTC            262.043             263.192            -1.149         1.622
FSDS             185.483             184.853             0.629         3.887
FSDSC            244.407             243.656             0.751         1.159
FSNS             159.943             160.791            -0.847         4.604
FSNSC            212.612             213.706            -1.094         5.586
FSNSC_ICE         39.787              39.985            -0.198         3.516
FSNSC_LAND       190.499             190.031             0.467         1.981
FSNT             234.796             236.075            -1.279         4.424
FSNTC            283.944             285.500            -1.556         5.490
ICEAREA           23.650              22.055             1.595         0.064
LHFLX             81.747              83.243            -1.496         6.176
LWCF              29.422              29.196             0.226         2.201
PRECT              2.779               2.831            -0.053         0.464
PRECT_LAND         2.290               2.282             0.008         0.313
PRECT_OCEAN        3.098               3.175            -0.076         0.533
PREH2O            25.729              26.778            -1.050         1.658
PREH2O_OCEAN      30.304              31.523            -1.219         1.937
PSI_200           -0.022              -0.021            -0.000         0.208
PS               985.409             985.512            -0.103         0.628
PSL             1011.141            1011.223            -0.083         0.642
QFLX               2.798               2.850            -0.053         0.188
SHFLX             17.954              17.959            -0.005         1.869
SNOWHLND          12.410              12.381             0.029         1.612
SST               20.629              21.211            -0.582         0.745
STRESS_MAG         0.067               0.066             0.001         0.008
SWCF             -49.148             -49.425             0.277         3.617
T_850            281.895             282.448            -0.553         0.712
TGCLDLWP         128.923             129.776            -0.853        10.681
TGCLDIWP          17.760              17.437             0.323         1.435
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.829             288.368            -0.539         0.747
TS               288.550             289.101            -0.551         0.787
TS_LAND          282.555             282.932            -0.377         0.698
U_200             17.018              16.882             0.136         1.400
VT_850             0.235               0.164             0.071         0.652
Z3_500            56.713              56.845            -0.133         0.157
