DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             2.132               2.993            -0.861         5.587
RESSURF            6.586               7.417            -0.831         5.443
SOLIN            342.177             342.177             0.000         0.000
AAM            1.403e+26           1.441e+26        -3.775e+24      -999.000
CHI_200            0.012               0.021            -0.009         0.430
CLDHGH            28.350              28.380            -0.030         2.037
CLDLOW            32.659              32.823            -0.164         1.663
CLDMED            15.842              15.743             0.099         1.491
CLDTOT            50.255              50.393            -0.138         1.983
EKE_850           27.221              27.415            -0.194         1.640
EP            -3.913e-02          -3.695e-02        -2.183e-03         0.425
FLNS              59.604              58.893             0.711         1.781
FLNSC             82.406              81.530             0.877         1.573
FLNT             233.693             234.580            -0.887         2.673
FLNTC            262.121             263.042            -0.921         1.305
FSDS             187.076             186.131             0.946         4.165
FSDSC            249.646             248.853             0.793         1.231
FSNS             161.768             163.132            -1.364         6.512
FSNSC            217.644             219.723            -2.079         8.529
FSNSC_ICE         46.559              45.590             0.968         5.220
FSNSC_LAND       166.658             166.144             0.514         1.115
FSNT             235.825             237.573            -1.747         6.181
FSNTC            287.755             290.242            -2.487         8.181
ICEAREA           24.939              23.477             1.462         0.069
LHFLX             79.469              80.782            -1.313         5.303
LWCF              28.428              28.462            -0.034         2.129
PRECT              2.766               2.810            -0.044         0.401
PRECT_LAND         2.446               2.475            -0.029         0.295
PRECT_OCEAN        3.001               3.048            -0.047         0.454
PREH2O            25.899              26.824            -0.925         1.309
PREH2O_OCEAN      29.905              30.930            -1.025         1.493
PSI_200           -0.044              -0.044            -0.001         0.221
PS               985.425             985.516            -0.091         0.594
PSL             1011.105            1011.184            -0.080         0.601
QFLX               2.727               2.773            -0.046         0.156
SHFLX             16.108              16.040             0.069         1.818
SNOWHLND          10.391              10.356             0.036         1.524
SST               20.209              20.728            -0.520         0.650
STRESS_MAG         0.072               0.070             0.002         0.008
SWCF             -51.929             -52.669             0.740         4.230
T_850            281.766             282.254            -0.487         0.615
TGCLDLWP         134.571             135.883            -1.312        11.255
TGCLDIWP          17.251              17.082             0.169         1.420
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.841             288.300            -0.459         0.605
TS               288.525             288.995            -0.470         0.638
TS_LAND          283.112             283.420            -0.308         0.520
U_200             15.438              15.758            -0.320         1.297
VT_850             0.088               0.036             0.052         0.727
Z3_500            56.732              56.847            -0.115         0.133
