DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -103.633            -104.463             0.830         1.707
RESSURF          -75.946             -75.656            -0.289         6.287
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.400               3.525            -0.125         0.197
CLDHGH            25.631              25.216             0.414         1.976
CLDLOW            27.139              27.576            -0.437         1.312
CLDMED            17.198              17.038             0.160         1.126
CLDTOT            44.321              44.256             0.065         1.850
EKE_850           43.082              43.334            -0.252         2.056
EP             1.645e-01           1.516e-01         1.284e-02         0.208
FLNS              65.277              64.991             0.286         1.362
FLNSC             88.384              88.098             0.286         1.059
FLNT             212.772             213.604            -0.832         1.993
FLNTC            235.469             236.196            -0.728         1.300
FSDS              91.290              91.064             0.226         1.575
FSDSC            116.704             116.578             0.126         0.364
FSNS              74.297              74.190             0.107         1.632
FSNSC             95.845              95.859            -0.013         1.143
FSNSC_ICE          1.817               1.594             0.223         0.279
FSNSC_LAND        77.885              77.993            -0.108         1.613
FSNT             109.139             109.141            -0.002         1.495
FSNTC            129.904             130.038            -0.133         1.097
ICEAREA           13.959              13.737             0.222         0.034
LHFLX             67.594              67.742            -0.147         3.809
LWCF              22.697              22.592             0.105         1.416
PRECT              2.098               2.119            -0.020         0.208
PRECT_LAND         1.077               1.093            -0.016         0.129
PRECT_OCEAN        3.437               3.458            -0.021         0.281
PREH2O            11.759              11.996            -0.238         0.425
PREH2O_OCEAN      18.709              19.065            -0.355         0.561
PSI_200           -8.154              -8.252             0.098         0.152
PS               977.151             977.613            -0.462         0.759
PSL             1017.414            1017.865            -0.451         0.775
QFLX               2.263               2.270            -0.008         0.119
SHFLX             17.371              17.113             0.258         2.677
SNOWHLND           5.798               5.739             0.059         2.063
SST               16.492              16.638            -0.146         0.258
STRESS_MAG         0.076               0.076             0.001         0.008
SWCF             -20.765             -20.896             0.131         1.246
T_850            271.073             271.346            -0.274         0.435
TGCLDLWP         119.606             121.691            -2.086         8.444
TGCLDIWP          23.676              23.589             0.088         1.396
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.103             274.355            -0.253         0.572
TS               274.594             274.835            -0.241         0.591
TS_LAND          265.586             265.798            -0.212         0.655
U_200             25.306              25.626            -0.320         1.152
VT_850             0.419               0.416             0.003         0.651
Z3_500            55.161              55.269            -0.108         0.127
