DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            52.327              51.697             0.630         2.641
RESSURF           54.619              54.732            -0.112         2.406
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.947              -3.609            -0.339         0.427
CLDHGH            25.137              25.020             0.117         1.671
CLDLOW            37.490              37.563            -0.073         1.472
CLDMED            13.426              13.415             0.011         1.069
CLDTOT            52.304              52.184             0.120         1.713
EKE_850           19.147              19.300            -0.154         1.185
EP            -2.160e-01          -2.489e-01         3.285e-02         0.285
FLNS              59.613              59.790            -0.177         2.064
FLNSC             84.021              84.100            -0.079         1.596
FLNT             249.517             250.219            -0.701         2.513
FLNTC            274.666             275.239            -0.573         1.217
FSDS             232.689             232.581             0.108         4.261
FSDSC            319.801             319.698             0.104         0.999
FSNS             197.270             197.222             0.048         3.818
FSNSC            273.180             273.316            -0.136         2.125
FSNSC_ICE        125.857             127.400            -1.542         5.187
FSNSC_LAND       256.897             256.762             0.135         1.747
FSNT             301.845             301.916            -0.071         3.368
FSNTC            371.061             371.340            -0.280         1.975
ICEAREA            8.950               8.816             0.134         0.026
LHFLX             55.226              54.739             0.487         2.859
LWCF              25.149              25.020             0.129         1.593
PRECT              2.147               2.167            -0.021         0.282
PRECT_LAND         2.452               2.439             0.014         0.294
PRECT_OCEAN        1.946               2.009            -0.062         0.287
PREH2O            28.102              28.292            -0.190         0.739
PREH2O_OCEAN      32.413              32.708            -0.295         0.759
PSI_200           -4.242              -4.526             0.283         0.304
PS               975.630             975.964            -0.334         0.499
PSL             1013.240            1013.571            -0.331         0.504
QFLX               1.931               1.918             0.012         0.085
SHFLX             27.812              27.962            -0.149         1.715
SNOWHLND           2.423               2.350             0.073         1.987
SST               20.085              20.223            -0.138         0.280
STRESS_MAG         0.047               0.047             0.001         0.003
SWCF             -69.216             -69.425             0.209         3.354
T_850            287.972             288.197            -0.225         0.442
TGCLDLWP         135.172             136.237            -1.065        10.324
TGCLDIWP          13.940              13.912             0.028         1.039
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.670             292.855            -0.186         0.383
TS               293.249             293.437            -0.188         0.398
TS_LAND          296.484             296.736            -0.253         0.499
U_200              9.015               9.514            -0.500         1.093
VT_850             0.141               0.119             0.021         0.743
Z3_500            58.048              58.119            -0.071         0.091
