DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -68.046             -68.492             0.446         1.467
RESSURF          -36.421             -36.199            -0.222         4.008
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.506              -1.178            -0.328         0.429
CLDHGH            24.564              24.709            -0.145         1.551
CLDLOW            29.116              29.594            -0.477         1.561
CLDMED            14.967              14.958             0.009         1.175
CLDTOT            44.531              44.975            -0.444         1.733
EKE_850           30.231              30.218             0.012         1.589
EP             1.001e-02          -3.642e-03         1.366e-02         0.278
FLNS              64.395              63.899             0.495         1.677
FLNSC             87.224              86.894             0.331         1.205
FLNT             232.506             232.748            -0.242         1.800
FLNTC            256.277             256.627            -0.350         0.886
FSDS             129.260             128.687             0.573         2.499
FSDSC            168.575             168.285             0.291         0.607
FSNS             110.966             110.491             0.475         2.243
FSNSC            145.437             145.220             0.217         0.910
FSNSC_ICE         10.354              10.264             0.089         1.575
FSNSC_LAND       129.495             129.189             0.306         1.111
FSNT             164.460             164.256             0.204         2.039
FSNTC            197.373             197.419            -0.046         0.724
ICEAREA            8.860               8.653             0.207         0.038
LHFLX             65.574              65.423             0.151         3.061
LWCF              23.771              23.879            -0.108         1.445
PRECT              2.225               2.237            -0.011         0.277
PRECT_LAND         1.636               1.666            -0.031         0.244
PRECT_OCEAN        2.964               2.957             0.007         0.317
PREH2O            19.860              20.170            -0.310         0.635
PREH2O_OCEAN      26.518              26.918            -0.400         0.741
PSI_200           -6.110              -6.377             0.267         0.289
PS               976.938             977.322            -0.383         0.715
PSL             1015.863            1016.252            -0.389         0.729
QFLX               2.235               2.233             0.003         0.093
SHFLX             17.418              17.368             0.050         1.513
SNOWHLND           2.642               2.584             0.059         2.043
SST               19.723              19.879            -0.156         0.292
STRESS_MAG         0.048               0.049            -0.000         0.006
SWCF             -32.913             -33.164             0.250         2.044
T_850            279.475             279.656            -0.181         0.407
TGCLDLWP         130.622             132.204            -1.582        10.236
TGCLDIWP          19.038              18.981             0.057         1.285
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.610             284.766            -0.155         0.413
TS               285.189             285.346            -0.157         0.434
TS_LAND          281.048             281.139            -0.091         0.423
U_200             17.759              18.085            -0.325         1.230
VT_850             0.123               0.130            -0.007         0.803
Z3_500            56.683              56.759            -0.076         0.111
