DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -23.431             -21.057            -2.373         7.044
RESSURF           -4.796              -3.599            -1.197         3.960
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.886               0.550             0.336         0.416
CLDHGH            25.397              25.414            -0.017         1.253
CLDLOW            39.444              39.645            -0.200         1.267
CLDMED            15.754              15.651             0.103         1.023
CLDTOT            53.458              53.638            -0.179         1.228
EKE_850           44.422              43.789             0.633         1.583
EP             1.042e-01           1.110e-01        -6.802e-03         0.210
FLNS              60.365              59.441             0.924         1.660
FLNSC             89.283              88.123             1.161         1.804
FLNT             224.744             226.226            -1.482         2.085
FLNTC            249.012             250.687            -1.675         1.787
FSDS             168.543             166.637             1.906         3.823
FSDSC            226.867             225.721             1.146         1.588
FSNS             138.396             141.938            -3.542         7.675
FSNSC            188.583             194.178            -5.595        11.383
FSNSC_ICE         61.167              60.618             0.549         4.468
FSNSC_LAND       130.069             129.641             0.428         0.649
FSNT             201.314             205.169            -3.855         7.494
FSNTC            246.993             252.886            -5.893        11.123
ICEAREA           12.324              11.086             1.239         0.059
LHFLX             70.442              73.663            -3.222         6.399
LWCF              24.268              24.461            -0.193         1.307
PRECT              2.277               2.382            -0.105         0.276
PRECT_LAND         1.652               1.692            -0.040         0.158
PRECT_OCEAN        2.459               2.576            -0.118         0.310
PREH2O            16.930              18.183            -1.254         1.636
PREH2O_OCEAN      19.339              20.649            -1.310         1.831
PSI_200            7.270               7.295            -0.025         0.092
PS               983.543             983.373             0.169         0.579
PSL             1007.266            1007.054             0.212         0.611
QFLX               2.381               2.493            -0.112         0.215
SHFLX             12.386              12.432            -0.047         1.657
SNOWHLND          46.966              46.935             0.031         0.880
SST               14.699              15.545            -0.846         0.940
STRESS_MAG         0.094               0.093             0.002         0.006
SWCF             -45.679             -47.718             2.038         4.335
T_850            275.972             276.799            -0.828         0.864
TGCLDLWP         141.164             144.497            -3.333         8.998
TGCLDIWP          20.496              20.232             0.263         1.126
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.002             281.828            -0.826         0.888
TS               281.535             282.388            -0.853         0.940
TS_LAND          266.247             266.985            -0.737         0.762
U_200             25.559              25.477             0.083         1.005
VT_850            -0.213              -0.208            -0.005         0.513
Z3_500            55.159              55.321            -0.163         0.173
