DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            71.999              76.571            -4.572        10.726
RESSURF           80.684              84.042            -3.358         7.485
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.912              -3.032             0.120         0.327
CLDHGH            21.147              21.317            -0.169         1.657
CLDLOW            42.468              42.430             0.038         1.824
CLDMED            13.690              13.715            -0.025         1.434
CLDTOT            53.031              53.208            -0.177         1.874
EKE_850           30.167              29.769             0.399         1.887
EP            -1.843e-02          -1.571e-02        -2.721e-03         0.332
FLNS              56.539              55.325             1.214         2.328
FLNSC             86.069              84.478             1.591         2.322
FLNT             235.821             237.134            -1.313         2.454
FLNTC            258.423             259.950            -1.527         1.689
FSDS             262.840             260.051             2.789         6.532
FSDSC            356.685             354.943             1.742         2.400
FSNS             211.109             216.492            -5.383        11.700
FSNSC            292.370             300.745            -8.374        16.913
FSNSC_ICE        120.974             123.153            -2.180        10.418
FSNSC_LAND       190.980             190.086             0.895         1.730
FSNT             307.820             313.705            -5.886        11.391
FSNTC            380.216             389.055            -8.839        16.508
ICEAREA            8.213               7.181             1.032         0.057
LHFLX             63.015              65.955            -2.940         7.185
LWCF              22.602              22.816            -0.213         1.733
PRECT              2.174               2.274            -0.100         0.353
PRECT_LAND         2.693               2.747            -0.054         0.345
PRECT_OCEAN        2.094               2.204            -0.110         0.368
PREH2O            20.948              22.528            -1.580         2.102
PREH2O_OCEAN      22.725              24.294            -1.570         2.297
PSI_200            6.690               6.701            -0.011         0.124
PS               983.743             983.467             0.276         0.802
PSL             1007.062            1006.744             0.318         0.834
QFLX               2.155               2.258            -0.103         0.233
SHFLX             10.871              11.170            -0.299         1.576
SNOWHLND          46.927              46.896             0.031         0.943
SST               16.021              16.952            -0.931         1.044
STRESS_MAG         0.084               0.080             0.005         0.009
SWCF             -72.396             -75.350             2.954         7.013
T_850            279.199             280.064            -0.865         0.929
TGCLDLWP         145.106             147.184            -2.078        11.595
TGCLDIWP          16.777              16.506             0.272         1.474
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.740             285.531            -0.792         0.883
TS               285.222             286.057            -0.835         0.956
TS_LAND          275.929             276.578            -0.648         0.733
U_200             19.712              19.823            -0.112         1.120
VT_850            -0.086              -0.101             0.015         0.896
Z3_500            55.888              56.042            -0.155         0.173
