DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -110.691            -110.389            -0.303         4.072
RESSURF          -82.808             -83.684             0.877         7.438
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.592               4.217             0.376         0.465
CLDHGH            31.391              31.191             0.200         1.833
CLDLOW            37.829              38.006            -0.177         1.461
CLDMED            17.754              17.530             0.224         1.486
CLDTOT            56.219              56.161             0.058         1.570
EKE_850           56.244              54.932             1.312         2.824
EP             1.702e-01           1.888e-01        -1.867e-02         0.248
FLNS              62.891              62.351             0.540         1.686
FLNSC             92.180              91.450             0.730         1.760
FLNT             214.428             215.968            -1.540         2.625
FLNTC            241.224             242.956            -1.733         2.022
FSDS              81.613              80.625             0.987         2.541
FSDSC            108.980             108.406             0.574         0.900
FSNS              70.950              72.627            -1.678         4.164
FSNSC             94.426              97.129            -2.703         6.027
FSNSC_ICE          2.654               2.436             0.218         0.337
FSNSC_LAND        77.410              77.245             0.166         0.404
FSNT             103.737             105.580            -1.843         4.099
FSNTC            126.431             129.309            -2.878         5.973
ICEAREA           15.873              14.443             1.430         0.089
LHFLX             77.253              80.487            -3.234         7.283
LWCF              26.795              26.988            -0.193         1.797
PRECT              2.428               2.520            -0.092         0.284
PRECT_LAND         0.882               0.904            -0.021         0.129
PRECT_OCEAN        2.866               2.962            -0.096         0.320
PREH2O            13.404              14.349            -0.946         1.262
PREH2O_OCEAN      15.944              16.938            -0.994         1.424
PSI_200            7.190               7.332            -0.142         0.191
PS               983.706             983.601             0.104         0.904
PSL             1007.717            1007.563             0.154         0.946
QFLX               2.599               2.709            -0.110         0.239
SHFLX             13.613              13.474             0.139         3.200
SNOWHLND          46.990              46.959             0.031         0.850
SST               13.182              13.944            -0.762         0.842
STRESS_MAG         0.104               0.105            -0.001         0.011
SWCF             -22.694             -23.729             1.035         2.651
T_850            273.120             273.899            -0.778         0.828
TGCLDLWP         140.411             144.545            -4.134        10.007
TGCLDIWP          23.300              23.153             0.147         1.587
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.864             278.707            -0.843         0.956
TS               278.440             279.297            -0.857         1.013
TS_LAND          258.951             259.693            -0.743         0.859
U_200             30.307              30.181             0.126         1.381
VT_850            -0.373              -0.362            -0.011         0.830
Z3_500            54.556              54.713            -0.157         0.188
