DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -69.579             -68.460            -1.119         5.603
RESSURF          -43.683             -43.844             0.161         5.955
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.200              -0.745             0.545         0.674
CLDHGH            24.101              24.075             0.027         1.958
CLDLOW            38.716              39.040            -0.324         1.657
CLDMED            16.211              16.072             0.138         1.545
CLDTOT            51.945              52.222            -0.277         1.836
EKE_850           42.553              41.943             0.610         2.319
EP             1.423e-01           1.412e-01         1.040e-03         0.345
FLNS              59.269              58.138             1.130         2.339
FLNSC             87.226              85.809             1.417         2.384
FLNT             225.819             227.630            -1.810         2.883
FLNTC            250.249             252.168            -1.919         2.099
FSDS             123.237             121.719             1.518         4.068
FSDSC            167.578             166.589             0.988         1.427
FSNS             106.733             109.345            -2.612         6.098
FSNSC            145.537             149.659            -4.121         9.007
FSNSC_ICE         21.927              21.311             0.616         3.396
FSNSC_LAND       103.795             103.470             0.324         0.540
FSNT             156.240             159.170            -2.930         6.029
FSNTC            192.864             197.326            -4.462         8.937
ICEAREA            9.091               7.857             1.234         0.073
LHFLX             78.997              82.883            -3.886         8.181
LWCF              24.429              24.538            -0.109         1.953
PRECT              2.529               2.666            -0.137         0.425
PRECT_LAND         1.560               1.581            -0.021         0.294
PRECT_OCEAN        2.774               2.935            -0.161         0.463
PREH2O            18.504              20.022            -1.518         2.020
PREH2O_OCEAN      20.812              22.381            -1.569         2.220
PSI_200            7.912               7.709             0.203         0.250
PS               983.537             983.408             0.129         0.701
PSL             1007.408            1007.232             0.175         0.732
QFLX               2.671               2.807            -0.136         0.275
SHFLX             12.150              12.167            -0.017         2.209
SNOWHLND          46.941              46.905             0.036         0.992
SST               15.653              16.555            -0.901         1.015
STRESS_MAG         0.093               0.093            -0.000         0.010
SWCF             -36.624             -38.156             1.532         4.170
T_850            276.908             277.820            -0.911         0.974
TGCLDLWP         144.904             148.536            -3.632        12.411
TGCLDIWP          20.842              20.414             0.428         1.561
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.840             282.781            -0.941         1.034
TS               282.429             283.396            -0.967         1.098
TS_LAND          263.903             264.813            -0.910         0.981
U_200             24.694              24.419             0.275         1.681
VT_850            -0.154              -0.137            -0.017         0.642
Z3_500            55.343              55.534            -0.191         0.205
