DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            17.075              20.619            -3.543         9.202
RESSURF           28.849              31.361            -2.512         6.463
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.988               1.701             0.287         0.395
CLDHGH            24.855              25.004            -0.148         1.882
CLDLOW            38.810              39.158            -0.348         1.747
CLDMED            15.314              15.234             0.080         1.382
CLDTOT            52.617              52.954            -0.336         1.881
EKE_850           41.741              42.247            -0.506         2.006
EP             1.208e-01           1.284e-01        -7.612e-03         0.303
FLNS              62.711              61.894             0.818         2.004
FLNSC             91.616              90.723             0.893         1.629
FLNT             223.129             224.360            -1.231         2.355
FLNTC            246.326             247.829            -1.503         1.666
FSDS             209.009             206.625             2.384         5.312
FSDSC            277.612             276.327             1.285         1.805
FSNS             166.699             171.219            -4.520        10.363
FSNSC            224.637             231.906            -7.270        14.775
FSNSC_ICE         63.558              63.121             0.437         6.277
FSNSC_LAND       149.631             149.306             0.325         0.596
FSNT             240.204             244.979            -4.775         9.850
FSNTC            291.827             299.290            -7.463        14.206
ICEAREA           16.079              14.824             1.255         0.082
LHFLX             62.261              65.068            -2.807         6.434
LWCF              23.198              23.469            -0.272         1.801
PRECT              1.971               2.061            -0.089         0.314
PRECT_LAND         1.498               1.555            -0.058         0.210
PRECT_OCEAN        2.093               2.192            -0.099         0.352
PREH2O            14.926              15.889            -0.963         1.323
PREH2O_OCEAN      17.209              18.219            -1.010         1.499
PSI_200            7.275               7.436            -0.160         0.200
PS               983.180             983.012             0.167         0.694
PSL             1006.860            1006.663             0.198         0.699
QFLX               2.092               2.189            -0.097         0.207
SHFLX             12.877              12.896            -0.019         2.210
SNOWHLND          47.006              46.981             0.025         0.782
SST               13.073              13.833            -0.760         0.853
STRESS_MAG         0.106               0.102             0.004         0.009
SWCF             -51.622             -54.311             2.688         5.893
T_850            274.729             275.472            -0.743         0.802
TGCLDLWP         134.181             137.654            -3.474        12.226
TGCLDIWP          20.992              20.791             0.201         1.713
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.629             280.349            -0.721         0.792
TS               280.110             280.857            -0.746         0.843
TS_LAND          266.411             267.040            -0.628         0.687
U_200             27.416              27.398             0.018         1.430
VT_850            -0.240              -0.231            -0.009         0.804
Z3_500            54.861              55.007            -0.146         0.162
