DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            49.023              48.349             0.674         1.958
RESSURF           15.914              15.593             0.321         3.725
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.532              -0.527            -0.005         0.386
CLDHGH            36.584              36.366             0.218         1.480
CLDLOW            29.392              29.171             0.220         1.425
CLDMED            17.030              16.834             0.196         1.414
CLDTOT            53.541              53.256             0.284         1.359
EKE_850           15.306              15.145             0.161         0.968
EP            -9.307e-02          -8.722e-02        -5.853e-03         0.458
FLNS              52.620              51.770             0.850         1.451
FLNSC             68.992              67.604             1.388         1.834
FLNT             244.205             245.415            -1.209         2.419
FLNTC            283.317             284.267            -0.950         1.141
FSDS             215.495             215.449             0.046         2.837
FSDSC            292.439             291.599             0.841         0.941
FSNS             200.011             199.933             0.079         2.639
FSNSC            272.382             271.588             0.794         0.893
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.107             245.148             0.959         1.120
FSNT             293.229             293.764            -0.535         2.505
FSNTC            362.122             362.075             0.047         0.226
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.309             115.467            -1.158         4.304
LWCF              39.111              38.852             0.259         1.708
PRECT              4.054               4.088            -0.033         0.412
PRECT_LAND         4.241               4.200             0.041         0.283
PRECT_OCEAN        3.989               4.047            -0.058         0.445
PREH2O            42.376              43.938            -1.561         1.849
PREH2O_OCEAN      43.974              45.682            -1.707         1.991
PSI_200           -0.752              -0.623            -0.129         0.149
PS               995.911             995.994            -0.083         0.270
PSL             1010.628            1010.701            -0.073         0.263
QFLX               3.961               4.001            -0.039         0.107
SHFLX             17.168              17.102             0.065         1.220
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.255              27.773            -0.518         0.584
STRESS_MAG         0.055               0.052             0.002         0.006
SWCF             -68.893             -68.311            -0.582         2.609
T_850            290.309             290.880            -0.571         0.604
TGCLDLWP         138.411             137.358             1.053         8.109
TGCLDIWP          12.051              11.826             0.226         0.883
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.020             299.540            -0.520         0.566
TS               299.980             300.504            -0.524         0.579
TS_LAND          298.472             299.027            -0.555         0.575
U_200              3.076               3.262            -0.186         0.902
VT_850             0.423               0.262             0.161         0.482
Z3_500            58.613              58.745            -0.132         0.132
