DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            53.616              52.595             1.021         3.611
RESSURF           15.700              14.602             1.098         5.914
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.590              -0.587            -0.003         0.392
CLDHGH            38.382              38.060             0.322         2.365
CLDLOW            27.823              27.693             0.130         1.751
CLDMED            17.679              17.600             0.080         2.339
CLDTOT            53.587              53.275             0.312         2.015
EKE_850           11.665              11.297             0.368         1.825
EP            -1.226e-01          -1.144e-01        -8.257e-03         0.779
FLNS              54.727              53.907             0.820         1.742
FLNSC             70.822              69.410             1.413         2.026
FLNT             242.111             243.463            -1.352         3.580
FLNTC            282.705             283.739            -1.033         1.407
FSDS             218.645             218.426             0.220         5.355
FSDSC            296.197             295.374             0.823         1.139
FSNS             202.783             202.552             0.231         5.065
FSNSC            275.750             274.972             0.778         1.061
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.905             248.235             0.670         1.263
FSNT             295.727             296.058            -0.331         4.728
FSNTC            365.707             365.653             0.054         0.256
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.067             117.748            -1.681         6.300
LWCF              40.594              40.275             0.319         2.748
PRECT              4.149               4.197            -0.049         0.748
PRECT_LAND         4.437               4.397             0.040         0.480
PRECT_OCEAN        4.051               4.128            -0.077         0.816
PREH2O            40.901              42.541            -1.640         2.103
PREH2O_OCEAN      42.935              44.796            -1.861         2.287
PSI_200            1.425               1.508            -0.083         0.133
PS               994.793             994.947            -0.154         0.328
PSL             1009.524            1009.670            -0.146         0.321
QFLX               4.026               4.083            -0.057         0.163
SHFLX             16.289              16.295            -0.006         1.467
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.181              27.723            -0.542         0.608
STRESS_MAG         0.059               0.058             0.001         0.006
SWCF             -69.980             -69.595            -0.385         4.768
T_850            289.862             290.444            -0.583         0.622
TGCLDLWP         141.260             141.156             0.104        16.003
TGCLDIWP          12.618              12.351             0.267         1.478
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.691             299.221            -0.530         0.580
TS               299.613             300.142            -0.530         0.588
TS_LAND          297.147             297.650            -0.503         0.531
U_200              4.322               4.201             0.121         1.164
VT_850            -2.166              -2.257             0.091         0.633
Z3_500            58.448              58.596            -0.148         0.149
