DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            29.776              29.339             0.437         2.867
RESSURF           -2.435              -2.596             0.161         5.752
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.529              -0.480            -0.050         0.590
CLDHGH            34.739              34.663             0.075         2.382
CLDLOW            31.795              31.620             0.175         1.891
CLDMED            16.810              16.539             0.271         2.066
CLDTOT            53.986              53.854             0.132         2.112
EKE_850           10.866              10.604             0.261         1.082
EP             8.320e-02           9.270e-02        -9.500e-03         0.686
FLNS              51.039              50.030             1.008         1.913
FLNSC             67.781              66.240             1.540         2.123
FLNT             245.650             246.747            -1.097         3.602
FLNTC            283.376             284.320            -0.944         1.364
FSDS             198.788             198.813            -0.025         4.476
FSDSC            276.335             275.361             0.974         1.289
FSNS             184.362             184.309             0.053         4.103
FSNSC            257.032             256.103             0.929         1.243
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       232.392             231.121             1.272         1.785
FSNT             275.426             276.085            -0.659         3.971
FSNTC            344.489             344.406             0.083         0.329
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            118.705             119.938            -1.233         6.062
LWCF              37.726              37.573             0.153         2.776
PRECT              4.007               4.038            -0.032         0.649
PRECT_LAND         3.524               3.403             0.121         0.388
PRECT_OCEAN        4.150               4.232            -0.082         0.711
PREH2O            42.924              44.559            -1.634         2.001
PREH2O_OCEAN      44.436              46.234            -1.798         2.169
PSI_200           -3.099              -2.958            -0.141         0.187
PS               997.357             997.402            -0.045         0.288
PSL             1012.108            1012.141            -0.032         0.282
QFLX               4.090               4.131            -0.041         0.159
SHFLX             17.053              16.936             0.117         1.783
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.078              27.592            -0.515         0.592
STRESS_MAG         0.072               0.070             0.001         0.007
SWCF             -69.063             -68.320            -0.743         4.122
T_850            290.154             290.762            -0.607         0.650
TGCLDLWP         147.830             146.033             1.798        13.883
TGCLDIWP          11.787              11.605             0.181         1.469
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.870             299.420            -0.549         0.610
TS               299.768             300.312            -0.544         0.615
TS_LAND          298.131             298.780            -0.649         0.701
U_200              0.526               1.273            -0.747         1.163
VT_850             3.058               2.869             0.188         0.646
Z3_500            58.755              58.886            -0.131         0.131
