DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            56.781              55.999             0.782         2.860
RESSURF           23.701              23.830            -0.129         5.594
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.571              -0.588             0.016         0.713
CLDHGH            37.775              37.493             0.281         2.583
CLDLOW            27.806              27.566             0.241         1.845
CLDMED            16.441              16.210             0.231         2.012
CLDTOT            53.045              52.707             0.337         2.094
EKE_850           10.563              10.566            -0.003         1.475
EP            -9.332e-02          -1.004e-01         7.038e-03         0.724
FLNS              52.864              52.118             0.746         1.737
FLNSC             68.700              67.497             1.203         1.936
FLNT             243.869             245.099            -1.230         3.895
FLNTC            283.922             284.852            -0.930         1.403
FSDS             222.557             222.470             0.087         4.375
FSDSC            295.888             295.124             0.763         1.008
FSNS             206.457             206.344             0.113         4.124
FSNSC            275.574             274.851             0.724         0.929
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.879             247.066             0.813         1.093
FSNT             300.650             301.098            -0.448         3.848
FSNTC            366.421             366.357             0.064         0.287
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.559             113.036            -0.477         6.394
LWCF              40.054              39.753             0.300         2.935
PRECT              3.994               4.019            -0.024         0.657
PRECT_LAND         4.297               4.293             0.004         0.493
PRECT_OCEAN        3.895               3.928            -0.034         0.701
PREH2O            43.134              44.622            -1.488         1.991
PREH2O_OCEAN      44.857              46.472            -1.615         2.135
PSI_200           -0.027               0.157            -0.184         0.222
PS               995.545             995.621            -0.076         0.292
PSL             1010.238            1010.303            -0.064         0.290
QFLX               3.901               3.918            -0.017         0.155
SHFLX             17.333              17.360            -0.027         1.635
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.721              28.231            -0.511         0.598
STRESS_MAG         0.054               0.050             0.003         0.008
SWCF             -65.771             -65.259            -0.512         3.929
T_850            290.839             291.400            -0.561         0.605
TGCLDLWP         125.825             124.622             1.204        11.795
TGCLDIWP          11.959              11.741             0.218         1.438
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.493             299.996            -0.504         0.567
TS               300.528             301.048            -0.520         0.595
TS_LAND          299.322             299.887            -0.566         0.604
U_200              6.004               5.502             0.502         1.283
VT_850             0.370               0.178             0.193         0.591
Z3_500            58.635              58.764            -0.129         0.129
