DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            56.083              55.600             0.483         2.718
RESSURF           26.848              26.631             0.216         5.568
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.435              -0.450             0.015         0.463
CLDHGH            35.461              35.264             0.197         2.538
CLDLOW            30.112              29.790             0.322         1.676
CLDMED            17.214              17.008             0.206         1.830
CLDTOT            53.539              53.185             0.355         2.285
EKE_850           11.037              11.135            -0.098         1.268
EP            -2.433e-01          -2.310e-01        -1.235e-02         0.607
FLNS              51.890              51.072             0.818         1.643
FLNSC             68.705              67.311             1.394         1.816
FLNT             245.171             246.351            -1.180         3.539
FLNTC            283.257             284.167            -0.910         1.246
FSDS             222.125             222.221            -0.096         4.191
FSDSC            301.516             300.712             0.804         0.965
FSNS             206.571             206.649            -0.078         3.927
FSNSC            281.342             280.593             0.748         0.918
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       255.404             254.324             1.080         1.385
FSNT             301.254             301.951            -0.697         3.743
FSNTC            372.057             372.068            -0.011         0.272
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            109.848             111.133            -1.285         5.784
LWCF              38.086              37.816             0.270         2.859
PRECT              4.071               4.101            -0.030         0.551
PRECT_LAND         4.710               4.717            -0.006         0.415
PRECT_OCEAN        3.862               3.902            -0.040         0.587
PREH2O            42.515              44.003            -1.487         1.720
PREH2O_OCEAN      43.643              45.203            -1.561         1.793
PSI_200           -1.269              -1.163            -0.106         0.155
PS               995.909             995.966            -0.057         0.270
PSL             1010.602            1010.650            -0.048         0.266
QFLX               3.827               3.870            -0.043         0.148
SHFLX             17.985              17.813             0.173         1.661
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.035              27.545            -0.511         0.580
STRESS_MAG         0.055               0.053             0.003         0.008
SWCF             -70.803             -70.117            -0.686         3.854
T_850            290.380             290.914            -0.534         0.575
TGCLDLWP         138.810             137.746             1.064        11.217
TGCLDIWP          11.852              11.606             0.247         1.214
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.017             299.518            -0.501         0.548
TS               300.001             300.508            -0.507         0.571
TS_LAND          299.268             299.773            -0.505         0.551
U_200              1.473               2.117            -0.644         1.222
VT_850             0.358               0.195             0.163         0.560
Z3_500            58.608              58.730            -0.121         0.122
